store_name,department,category,item,description,qty_sold,sold_price,total_sales
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743154,Fire Emblem Fates Birth 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743314,Pokemon Super Mystery Dung.3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743178,Xenoblade Chronicles 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496741747,Mario Kart 7 3DS,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743581,Fire Emblem Fates S.E 3DS,1,89.99,89.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496742904,Super Smash Bros 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743154,Fire Emblem Fates Birth 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743406,Fire Emblem Fates Conquest 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743345,Zelda Tri Force 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743581,Fire Emblem Fates S.E 3DS,1,89.99,89.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743406,Fire Emblem Fates Conquest 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743406,Fire Emblem Fates Conquest 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496742904,Super Smash Bros 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496742553,Mario Party Island Tou SEL 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743581,Fire Emblem Fates S.E 3DS,1,89.99,89.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743406,Fire Emblem Fates Conquest 3DS,1,49.99,49.99
ALBROOK MALL,ACCESORIO,NINTENDO WIIU,45496891022,Wii U Pro Controller Black,1,69.99,69.99
ALBROOK MALL,ACCESORIO,NINTENDO WIIU,45496891022,Wii U Pro Controller Black,1,69.99,69.99
