store_name,department,category,item,description,qty_sold,sold_price,total_sales
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502104,PS4 God of War Bundle,1,499.99,499.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,450.0,450.0
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,450.0,450.0
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
